Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,reading and writing skills,memory capability score,interested career area ,Type of company want to settle in?,Management or Technical,hard/smart worker,Suggested Job Role
poor,5,poor,medium,no,excellent,poor,security,Service Based,Management,hard worker,Software Engineer
excellent,2,excellent,poor,yes,medium,poor,security,Cloud Services,Management,hard worker,Mobile Applications Developer
poor,2,poor,poor,yes,medium,medium,Business process analyst,Sales and Marketing,Management,hard worker,Network Security Engineer
poor,0,poor,poor,no,poor,excellent,developer,Service Based,Technical,smart worker,Software Quality Assurance (QA) / Testing
medium,6,excellent,excellent,yes,excellent,excellent,security,Testing and Maintainance Services,Technical,smart worker,Database Developer
poor,1,excellent,medium,no,medium,medium,system developer,Web Services,Management,smart worker,CRM Technical Developer
excellent,4,poor,poor,yes,medium,poor,developer,SAaS services,Management,smart worker,Mobile Applications Developer
medium,1,medium,excellent,no,poor,poor,security,BPA,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,0,poor,medium,no,poor,medium,Business process analyst,BPA,Technical,hard worker,Systems Security Administrator
medium,3,excellent,medium,yes,excellent,excellent,security,BPA,Technical,hard worker,Systems Security Administrator
poor,0,medium,poor,no,medium,poor,security,Sales and Marketing,Management,hard worker,Applications Developer
poor,2,poor,poor,no,excellent,poor,developer,SAaS services,Management,hard worker,Database Developer
poor,4,medium,medium,yes,excellent,poor,security,Sales and Marketing,Management,hard worker,Applications Developer
poor,2,excellent,poor,yes,medium,medium,cloud computing,SAaS services,Management,smart worker,Mobile Applications Developer
poor,3,excellent,poor,yes,excellent,poor,Business process analyst,Testing and Maintainance Services,Management,smart worker,Software Quality Assurance (QA) / Testing
poor,1,medium,poor,no,medium,excellent,developer,Finance,Management,hard worker,Network Security Engineer
poor,1,excellent,medium,yes,poor,medium,system developer,BPA,Management,hard worker,Network Security Engineer
excellent,1,medium,medium,yes,poor,excellent,cloud computing,Cloud Services,Technical,hard worker,Software Engineer
poor,6,excellent,excellent,yes,excellent,excellent,Business process analyst,SAaS services,Technical,smart worker,Technical Support
poor,5,medium,medium,no,poor,poor,Business process analyst,Web Services,Management,smart worker,Database Developer
medium,6,medium,medium,yes,medium,poor,cloud computing,Cloud Services,Management,hard worker,Software Quality Assurance (QA) / Testing
medium,0,excellent,poor,no,medium,excellent,system developer,Testing and Maintainance Services,Management,smart worker,Software Developer
poor,5,excellent,poor,no,poor,medium,security,Cloud Services,Management,hard worker,Technical Support
excellent,0,excellent,poor,yes,excellent,medium,Business process analyst,product development,Technical,smart worker,CRM Technical Developer
excellent,0,medium,medium,yes,excellent,poor,system developer,SAaS services,Technical,hard worker,Applications Developer
medium,2,excellent,poor,no,excellent,excellent,Business process analyst,Product based,Technical,smart worker,Web Developer
medium,1,poor,excellent,yes,poor,poor,developer,Web Services,Management,hard worker,Software Developer
medium,0,medium,excellent,yes,poor,medium,system developer,Testing and Maintainance Services,Technical,smart worker,Web Developer
excellent,2,poor,medium,yes,poor,poor,developer,Cloud Services,Technical,smart worker,Applications Developer
excellent,6,poor,excellent,yes,medium,medium,testing,Testing and Maintainance Services,Management,smart worker,Systems Security Administrator
medium,3,poor,excellent,no,medium,excellent,security,Finance,Technical,smart worker,Software Developer
medium,3,medium,excellent,yes,medium,excellent,testing,product development,Management,hard worker,Network Security Engineer
poor,5,excellent,medium,no,excellent,excellent,developer,Cloud Services,Management,hard worker,Applications Developer
poor,1,poor,excellent,yes,excellent,poor,testing,product development,Technical,smart worker,Technical Support
poor,2,excellent,excellent,no,poor,excellent,Business process analyst,Finance,Management,hard worker,Technical Support
excellent,6,excellent,poor,no,excellent,excellent,testing,Finance,Management,hard worker,CRM Technical Developer
excellent,3,excellent,excellent,yes,poor,excellent,security,SAaS services,Technical,smart worker,Mobile Applications Developer
poor,0,excellent,medium,no,medium,medium,testing,SAaS services,Technical,hard worker,Software Engineer
excellent,2,poor,medium,yes,excellent,excellent,testing,product development,Technical,hard worker,Applications Developer
poor,6,poor,poor,yes,medium,excellent,developer,SAaS services,Technical,smart worker,Systems Security Administrator
medium,6,medium,excellent,yes,excellent,poor,security,Web Services,Technical,smart worker,Network Security Engineer
medium,3,excellent,medium,no,poor,poor,security,BPA,Management,smart worker,Technical Support
excellent,2,excellent,poor,yes,poor,excellent,system developer,product development,Management,smart worker,Software Developer
poor,5,poor,excellent,no,excellent,excellent,cloud computing,Cloud Services,Technical,hard worker,Applications Developer
medium,2,poor,medium,no,excellent,poor,developer,BPA,Technical,hard worker,Systems Security Administrator
excellent,2,poor,medium,yes,medium,excellent,developer,product development,Technical,smart worker,Technical Support
poor,3,medium,excellent,yes,poor,medium,developer,Sales and Marketing,Technical,hard worker,Software Developer
excellent,3,medium,medium,yes,excellent,medium,cloud computing,product development,Technical,smart worker,Technical Support
medium,6,poor,excellent,yes,excellent,medium,cloud computing,Testing and Maintainance Services,Technical,hard worker,Applications Developer
excellent,5,excellent,excellent,no,poor,excellent,Business process analyst,Product based,Management,hard worker,Database Developer
medium,6,excellent,poor,yes,poor,excellent,testing,Service Based,Technical,hard worker,Network Security Engineer
excellent,3,excellent,poor,yes,medium,excellent,system developer,Cloud Services,Management,smart worker,Applications Developer
medium,0,excellent,poor,no,medium,excellent,developer,Finance,Management,smart worker,Software Quality Assurance (QA) / Testing
medium,1,poor,poor,yes,excellent,excellent,cloud computing,BPA,Management,smart worker,Software Developer
medium,3,excellent,medium,yes,medium,excellent,cloud computing,BPA,Management,smart worker,UX Designer
excellent,6,medium,medium,yes,medium,excellent,developer,Sales and Marketing,Technical,smart worker,Applications Developer
medium,3,excellent,medium,yes,medium,excellent,cloud computing,Sales and Marketing,Technical,smart worker,CRM Technical Developer
poor,1,poor,excellent,no,medium,poor,testing,Cloud Services,Management,smart worker,Web Developer
poor,1,excellent,medium,yes,excellent,poor,testing,Web Services,Technical,hard worker,UX Designer
medium,5,medium,excellent,no,medium,poor,cloud computing,Cloud Services,Technical,smart worker,Applications Developer
poor,2,excellent,excellent,yes,excellent,excellent,Business process analyst,SAaS services,Management,hard worker,UX Designer
excellent,0,medium,medium,no,excellent,poor,Business process analyst,product development,Management,hard worker,CRM Technical Developer
poor,1,medium,excellent,yes,poor,medium,testing,Testing and Maintainance Services,Management,hard worker,Software Developer
medium,2,poor,excellent,no,excellent,poor,developer,Product based,Technical,smart worker,Network Security Engineer
excellent,1,poor,medium,yes,medium,excellent,security,Cloud Services,Technical,smart worker,UX Designer
medium,0,medium,excellent,no,excellent,poor,developer,Cloud Services,Management,smart worker,Network Security Engineer
poor,3,medium,poor,no,poor,excellent,testing,Product based,Technical,smart worker,Web Developer
poor,1,medium,poor,yes,excellent,excellent,testing,Service Based,Technical,smart worker,Web Developer
medium,1,excellent,poor,no,excellent,medium,security,Service Based,Management,smart worker,Network Security Engineer
excellent,1,excellent,medium,no,excellent,poor,cloud computing,Sales and Marketing,Technical,hard worker,Network Security Engineer
excellent,2,medium,excellent,no,medium,medium,developer,product development,Technical,hard worker,UX Designer
excellent,0,excellent,excellent,no,excellent,excellent,developer,Service Based,Technical,smart worker,Mobile Applications Developer
poor,5,poor,medium,no,excellent,poor,cloud computing,product development,Management,smart worker,Systems Security Administrator
poor,2,poor,medium,yes,poor,excellent,Business process analyst,Service Based,Management,smart worker,Software Quality Assurance (QA) / Testing
poor,4,medium,poor,no,poor,medium,developer,Finance,Management,smart worker,UX Designer
poor,6,poor,poor,no,medium,poor,system developer,SAaS services,Management,hard worker,CRM Technical Developer
poor,5,excellent,medium,no,medium,excellent,Business process analyst,Testing and Maintainance Services,Technical,hard worker,CRM Technical Developer
excellent,6,excellent,medium,no,excellent,excellent,system developer,Product based,Management,hard worker,UX Designer
excellent,1,medium,excellent,yes,excellent,excellent,Business process analyst,Cloud Services,Management,smart worker,Software Developer
excellent,2,medium,poor,yes,excellent,medium,Business process analyst,Product based,Technical,hard worker,Web Developer
poor,1,excellent,medium,no,excellent,medium,developer,Finance,Technical,smart worker,Web Developer
medium,1,excellent,medium,yes,excellent,excellent,Business process analyst,Product based,Management,smart worker,Systems Security Administrator
excellent,0,poor,medium,yes,medium,excellent,system developer,Service Based,Technical,hard worker,Database Developer
poor,1,excellent,excellent,yes,medium,medium,cloud computing,product development,Technical,smart worker,Database Developer
medium,6,medium,poor,yes,medium,poor,cloud computing,Web Services,Technical,hard worker,Technical Support
excellent,6,excellent,poor,yes,excellent,excellent,developer,product development,Management,hard worker,Mobile Applications Developer
medium,2,medium,excellent,no,poor,poor,testing,Finance,Technical,hard worker,Systems Security Administrator
medium,2,medium,poor,yes,excellent,medium,cloud computing,Sales and Marketing,Technical,hard worker,Software Engineer
poor,4,poor,poor,no,excellent,poor,system developer,product development,Management,smart worker,Applications Developer
excellent,3,medium,poor,no,medium,medium,system developer,Testing and Maintainance Services,Management,hard worker,Technical Support
poor,1,medium,excellent,no,excellent,medium,developer,product development,Technical,hard worker,Database Developer
